text,label
"Me encanta este producto, funciona perfectamente.",1
"Excelente servicio al cliente, muy recomendable.",1
"Una experiencia maravillosa, volveré sin duda.",1
"Mejor de lo que esperaba, estoy muy satisfecho.",1
"Increíble calidad por el precio que pagué.",1
"Superó todas mis expectativas, fantástico.",1
"Muy contento con mi compra, vale cada centavo.",1
"Definitivamente lo recomendaría a mis amigos.",1
"El mejor producto que he comprado este año.",1
"Experiencia de usuario sobresaliente, felicitaciones.",1
"Terrible experiencia, no volveré a comprar aquí.",0
"Producto defectuoso, una pérdida de dinero.",0
"Servicio pésimo, espera interminable.",0
"No funciona como se anuncia, decepcionante.",0
"Calidad muy por debajo de lo esperado.",0
"Mala relación calidad-precio, no lo recomiendo.",0
"Experiencia frustrante de principio a fin.",0
"Demasiados problemas, no vale la pena.",0
"No cumple con lo prometido, eviten este producto.",0
"Atención al cliente inexistente, muy decepcionado.",0
